HumanGeneID,Symbol,Description,MitoCarta3.0_MitoPathways
2230,FDX1,ferredoxin 1,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism"
6576,SLC25A1,solute carrier family 25 member 1,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family
28957,MRPS28,mitochondrial ribosomal protein S28,Mitochondrial central dogma > Translation > Mitochondrial ribosome
92609,TIMM50,translocase of inner mitochondrial membrane 50,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
7417,VDAC2,voltage dependent anion channel 2,Small molecule transport
284439,SLC25A42,solute carrier family 25 member 42,Metabolism > Metals and cofactors > Coenzyme A metabolism | Small molecule transport > SLC25A family
54543,TOMM7,translocase of outer mitochondrial membrane 7,"Protein import, sorting and homeostasis > Protein import and sorting > TOM | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy"
1891,ECH1,enoyl-CoA hydratase 1,Metabolism > Lipid metabolism
5188,GATB,glutamyl-tRNA amidotransferase subunit B,Mitochondrial central dogma > Translation > mt-tRNA synthetases
617,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
26284,ERAL1,Era like 12S mitochondrial rRNA chaperone 1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
152100,CMC1,C-X9-C motif containing 1,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
10573,MRPL28,mitochondrial ribosomal protein L28,Mitochondrial central dogma > Translation > Mitochondrial ribosome
10102,TSFM,"Ts translation elongation factor, mitochondrial",Mitochondrial central dogma > Translation > Translation factors
2395,FXN,frataxin,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
27247,NFU1,NFU1 iron-sulfur cluster scaffold,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
51067,YARS2,tyrosyl-tRNA synthetase 2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
219927,MRPL21,mitochondrial ribosomal protein L21,Mitochondrial central dogma > Translation > Mitochondrial ribosome
8659,ALDH4A1,aldehyde dehydrogenase 4 family member A1,Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism
84134,TOMM40L,translocase of outer mitochondrial membrane 40 like,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
51103,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
4716,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
36,ACADSB,acyl-CoA dehydrogenase short/branched chain,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
64965,MRPS9,mitochondrial ribosomal protein S9,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome
56997,COQ8A,coenzyme Q8A,Metabolism > Metals and cofactors > Coenzyme Q metabolism
37,ACADVL,acyl-CoA dehydrogenase very long chain,Metabolism > Lipid metabolism > Fatty acid oxidation
51117,COQ4,coenzyme Q4,Metabolism > Metals and cofactors > Coenzyme Q metabolism
29088,MRPL15,mitochondrial ribosomal protein L15,Mitochondrial central dogma > Translation > Mitochondrial ribosome
4695,NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
79590,MRPL24,mitochondrial ribosomal protein L24,Mitochondrial central dogma > Translation > Mitochondrial ribosome
3329,HSPD1,heat shock protein family D (Hsp60) member 1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
4725,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
50808,AK3,adenylate kinase 3,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
54205,CYCS,"cytochrome c, somatic",Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis
4285,MIPEP,mitochondrial intermediate peptidase,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
90624,LYRM7,LYR motif containing 7,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
1384,CRAT,carnitine O-acetyltransferase,Metabolism > Lipid metabolism > Fatty acid oxidation
5096,PCCB,propionyl-CoA carboxylase subunit beta,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation
51081,MRPS7,mitochondrial ribosomal protein S7,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome
11222,MRPL3,mitochondrial ribosomal protein L3,Mitochondrial central dogma > Translation > Mitochondrial ribosome
5625,PRODH,proline dehydrogenase 1,"Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
5095,PCCA,propionyl-CoA carboxylase subunit alpha,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins
56922,MCCC1,methylcrotonoyl-CoA carboxylase 1,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Vitamin metabolism > Biotin utilizing proteins
6183,MRPS12,mitochondrial ribosomal protein S12,Mitochondrial central dogma > Translation > Mitochondrial ribosome
81570,CLPB,caseinolytic mitochondrial matrix peptidase chaperone subunit B,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
5163,PDK1,pyruvate dehydrogenase kinase 1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
740,MRPL49,mitochondrial ribosomal protein L49,Mitochondrial central dogma > Translation > Mitochondrial ribosome
1347,COX7A2,cytochrome c oxidase subunit 7A2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
84233,TMEM126A,transmembrane protein 126A,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
55268,ECHDC2,enoyl-CoA hydratase domain containing 2,0
3052,HCCS,holocytochrome c synthase,Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C
11112,HIBADH,3-hydroxyisobutyrate dehydrogenase,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
9801,MRPL19,mitochondrial ribosomal protein L19,Mitochondrial central dogma > Translation > Mitochondrial ribosome
64979,MRPL36,mitochondrial ribosomal protein L36,Mitochondrial central dogma > Translation > Mitochondrial ribosome
253512,SLC25A30,solute carrier family 25 member 30,Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family
622,BDH1,3-hydroxybutyrate dehydrogenase 1,Metabolism > Carbohydrate metabolism > Ketone metabolism
10667,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
22,ABCB7,ATP binding cassette subfamily B member 7,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Small molecule transport > ABC transporters
4580,MTX1,metaxin 1,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
4701,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
10440,TIMM17A,translocase of inner mitochondrial membrane 17A,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
223,ALDH9A1,aldehyde dehydrogenase 9 family member A1,Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
51023,MRPS18C,mitochondrial ribosomal protein S18C,Mitochondrial central dogma > Translation > Mitochondrial ribosome
92935,MARS2,"methionyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
4329,ALDH6A1,aldehyde dehydrogenase 6 family member A1,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
2232,FDXR,ferredoxin reductase,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Vitamin metabolism > Vitamin D metabolism"
283459,GATC,glutamyl-tRNA amidotransferase subunit C,Mitochondrial central dogma > Translation > mt-tRNA synthetases
10131,TRAP1,TNF receptor associated protein 1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
27034,ACAD8,acyl-CoA dehydrogenase family member 8,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
217,ALDH2,aldehyde dehydrogenase 2 family member,Metabolism > Detoxification > Xenobiotic metabolism
10105,PPIF,peptidylprolyl isomerase F,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore
29928,TIMM22,translocase of inner mitochondrial membrane 22,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway"
3712,IVD,isovaleryl-CoA dehydrogenase,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
79944,L2HGDH,L-2-hydroxyglutarate dehydrogenase,Metabolism > Carbohydrate metabolism > TCA-associated
23474,ETHE1,ETHE1 persulfide dioxygenase,Metabolism > Sulfur metabolism
55052,MRPL20,mitochondrial ribosomal protein L20,Mitochondrial central dogma > Translation > Mitochondrial ribosome
292,SLC25A5,solute carrier family 25 member 5,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family
8604,SLC25A12,solute carrier family 25 member 12,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Glutamate metabolism | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
54460,MRPS21,mitochondrial ribosomal protein S21,Mitochondrial central dogma > Translation > Mitochondrial ribosome
56993,TOMM22,translocase of outer mitochondrial membrane 22,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
10449,ACAA2,acetyl-CoA acyltransferase 2,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism
51263,MRPL30,mitochondrial ribosomal protein L30,Mitochondrial central dogma > Translation > Mitochondrial ribosome
9093,DNAJA3,DnaJ heat shock protein family (Hsp40) member A3,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
4708,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
65993,MRPS34,mitochondrial ribosomal protein S34,Mitochondrial central dogma > Translation > Mitochondrial ribosome
2109,ETFB,electron transfer flavoprotein subunit beta,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
246269,AFG1L,AFG1 like ATPase,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
93974,ATP5IF1,ATP synthase inhibitory factor subunit 1,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
515,ATP5PB,ATP synthase peripheral stalk-membrane subunit b,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
1350,COX7C,cytochrome c oxidase subunit 7C,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
54927,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions
80219,COQ10B,coenzyme Q10B,Metabolism > Metals and cofactors > Coenzyme Q metabolism
197322,ACSF3,acyl-CoA synthetase family member 3,Metabolism > Lipid metabolism > Type II fatty acid synthesis
26073,POLDIP2,DNA polymerase delta interacting protein 2,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
1468,SLC25A10,solute carrier family 25 member 10,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Small molecule transport > SLC25A family
10165,SLC25A13,solute carrier family 25 member 13,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Urea cycle | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
5165,PDK3,pyruvate dehydrogenase kinase 3,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
10873,ME3,malic enzyme 3,Metabolism > Carbohydrate metabolism > TCA-associated
29093,MRPL22,mitochondrial ribosomal protein L22,Mitochondrial central dogma > Translation > Mitochondrial ribosome
3418,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Metabolism > Carbohydrate metabolism > TCA cycle
2639,GCDH,glutaryl-CoA dehydrogenase,Metabolism > Amino acid metabolism > Lysine metabolism
57129,MRPL47,mitochondrial ribosomal protein L47,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome
27068,PPA2,inorganic pyrophosphatase 2,Mitochondrial central dogma > mtDNA maintenance | Mitochondrial central dogma > mtRNA metabolism | Mitochondrial central dogma > Translation | Metabolism > Nucleotide metabolism
65005,MRPL9,mitochondrial ribosomal protein L9,Mitochondrial central dogma > Translation > Mitochondrial ribosome
400916,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,0
10352,WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
60386,SLC25A19,solute carrier family 25 member 19,Metabolism > Vitamin metabolism > Vitamin B1 metabolism | Small molecule transport > SLC25A family
84869,CBR4,carbonyl reductase 4,Metabolism > Lipid metabolism > Type II fatty acid synthesis
91689,SMDT1,single-pass membrane protein with aspartate rich tail 1,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter
3029,HAGH,hydroxyacylglutathione hydrolase,Metabolism > Detoxification > ROS and glutathione metabolism
1346,COX7A1,cytochrome c oxidase subunit 7A1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
92170,MTG1,mitochondrial ribosome associated GTPase 1,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
84987,COX14,cytochrome c oxidase assembly factor COX14,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
55967,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
51021,MRPS16,mitochondrial ribosomal protein S16,Mitochondrial central dogma > Translation > Mitochondrial ribosome
80298,MTERF2,mitochondrial transcription termination factor 2,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
144363,ETFRF1,electron transfer flavoprotein regulatory factor 1,"Metabolism > Electron carriers > Q-linked reactions, other"
2820,GPD2,glycerol-3-phosphate dehydrogenase 2,"Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle | Metabolism > Electron carriers > Q-linked reactions, other"
4705,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
4718,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
81892,SLIRP,SRA stem-loop interacting RNA binding protein,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation
29090,TIMM21,translocase of inner mitochondrial membrane 21,"Mitochondrial central dogma > Translation > Translation factors | Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors"
4702,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
2744,GLS,glutaminase,Metabolism > Amino acid metabolism > Glutamate metabolism
54539,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
55526,DHTKD1,dehydrogenase E1 and transketolase domain containing 1,Metabolism > Amino acid metabolism > Lysine metabolism
51011,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,0
7923,HSD17B8,hydroxysteroid 17-beta dehydrogenase 8,"Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"
84681,HINT2,histidine triad nucleotide binding protein 2,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"
64969,MRPS5,mitochondrial ribosomal protein S5,Mitochondrial central dogma > Translation > Mitochondrial ribosome
221545,C6orf136,chromosome 6 open reading frame 136,0
283377,SPRYD4,SPRY domain containing 4,0
387787,LIPT2,lipoyl(octanoyl) transferase 2,Metabolism > Lipid metabolism > Lipoate insertion
1666,DECR1,"2,4-dienoyl-CoA reductase 1",Metabolism > Lipid metabolism > Fatty acid oxidation
64949,MRPS26,mitochondrial ribosomal protein S26,Mitochondrial central dogma > Translation > Mitochondrial ribosome
10166,SLC25A15,solute carrier family 25 member 15,Metabolism > Amino acid metabolism > Urea cycle | Small molecule transport > SLC25A family
4731,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
670,BPHL,biphenyl hydrolase like,Metabolism > Detoxification > Xenobiotic metabolism
30968,STOML2,stomatin like 2,"Protein import, sorting and homeostasis > Protein homeostasis"
22921,MSRB2,methionine sulfoxide reductase B2,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Sulfur metabolism
114294,LACTB,lactamase beta,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Metabolism > Lipid metabolism > Phospholipid metabolism"
10452,TOMM40,translocase of outer mitochondrial membrane 40,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
114789,SLC25A25,solute carrier family 25 member 25,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
203054,ADCK5,aarF domain containing kinase 5,0
80724,ACAD10,acyl-CoA dehydrogenase family member 10,Metabolism > Lipid metabolism > Fatty acid oxidation
23078,VWA8,von Willebrand factor A domain containing 8,0
60492,CCDC90B,coiled-coil domain containing 90B,0
55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,"Protein import, sorting and homeostasis > Protein import and sorting | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
84266,ALKBH7,alkB homolog 7,0
2731,GLDC,glycine decarboxylase,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system
347411,MPC1L,mitochondrial pyruvate carrier 1 like,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
117145,THEM4,thioesterase superfamily member 4,Metabolism > Lipid metabolism
6742,SSBP1,single stranded DNA binding protein 1,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
51264,MRPL27,mitochondrial ribosomal protein L27,Mitochondrial central dogma > Translation > Mitochondrial ribosome
150274,HSCB,HscB mitochondrial iron-sulfur cluster cochaperone,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
55173,MRPS10,mitochondrial ribosomal protein S10,Mitochondrial central dogma > Translation > Mitochondrial ribosome
205,AK4,adenylate kinase 4,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
55210,ATAD3A,ATPase family AAA domain containing 3A,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial dynamics and surveillance > Organelle contact sites | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions
51253,MRPL37,mitochondrial ribosomal protein L37,Mitochondrial central dogma > Translation > Mitochondrial ribosome
80142,PTGES2,prostaglandin E synthase 2,Metabolism > Lipid metabolism > Eicosanoid metabolism
10587,TXNRD2,thioredoxin reductase 2,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Detoxification > Selenoproteins
54988,ACSM5,acyl-CoA synthetase medium chain family member 5,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Detoxification > Xenobiotic metabolism
55847,CISD1,CDGSH iron sulfur domain 1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
64975,MRPL41,mitochondrial ribosomal protein L41,Mitochondrial central dogma > Translation > Mitochondrial ribosome
54996,MTARC2,mitochondrial amidoxime reducing component 2,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > Amidoxime reducing complex
64968,MRPS6,mitochondrial ribosomal protein S6,Mitochondrial central dogma > Translation > Mitochondrial ribosome
6150,MRPL23,mitochondrial ribosomal protein L23,Mitochondrial central dogma > Translation > Mitochondrial ribosome
58472,SQOR,sulfide quinone oxidoreductase,"Metabolism > Electron carriers > Q-linked reactions, other | Metabolism > Sulfur metabolism"
6341,SCO1,synthesis of cytochrome C oxidase 1,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
23464,GCAT,glycine C-acetyltransferase,Metabolism > Amino acid metabolism > Glycine metabolism
25902,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
10455,ECI2,enoyl-CoA delta isomerase 2,Metabolism > Lipid metabolism > Fatty acid oxidation
7381,UQCRB,ubiquinol-cytochrome c reductase binding protein,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
10476,ATP5PD,ATP synthase peripheral stalk subunit d,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
10632,ATP5MG,ATP synthase membrane subunit g,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation
131076,CCDC58,coiled-coil domain containing 58,0
64087,MCCC2,methylcrotonoyl-CoA carboxylase 2,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
84693,MCEE,methylmalonyl-CoA epimerase,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation
4337,MOCS1,molybdenum cofactor synthesis 1,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins
4594,MMUT,methylmalonyl-CoA mutase,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Vitamin B12 metabolism
92014,SLC25A51,solute carrier family 25 member 51,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Small molecule transport > SLC25A family
6687,SPG7,"SPG7 matrix AAA peptidase subunit, paraplegin","Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
518,ATP5MC3,ATP synthase membrane subunit c locus 3,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
84896,ATAD1,ATPase family AAA domain containing 1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
92106,OXNAD1,oxidoreductase NAD binding domain containing 1,0
26164,MTG2,mitochondrial ribosome associated GTPase 2,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
55157,DARS2,"aspartyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
51258,MRPL51,mitochondrial ribosomal protein L51,Mitochondrial central dogma > Translation > Mitochondrial ribosome
5091,PC,pyruvate carboxylase,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Vitamin metabolism > Biotin utilizing proteins
171425,CLYBL,citramalyl-CoA lyase,Metabolism > Carbohydrate metabolism > Itaconate metabolism
50640,PNPLA8,patatin like phospholipase domain containing 8,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
23417,MLYCD,malonyl-CoA decarboxylase,Metabolism > Lipid metabolism
100996939,PYURF,PIGY upstream reading frame,0
10245,TIMM17B,translocase of inner mitochondrial membrane 17B,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
64983,MRPL32,mitochondrial ribosomal protein L32,Mitochondrial central dogma > Translation > Mitochondrial ribosome
115286,SLC25A26,solute carrier family 25 member 26,Small molecule transport > SLC25A family
58510,PRODH2,proline dehydrogenase 2,"Metabolism > Amino acid metabolism > Glyoxylate metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
56954,NIT2,nitrilase family member 2,Metabolism > Detoxification
112812,FDX2,ferredoxin 2,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
4200,ME2,malic enzyme 2,Metabolism > Carbohydrate metabolism > TCA-associated
7284,TUFM,"Tu translation elongation factor, mitochondrial",Mitochondrial central dogma > Translation > Translation factors
1339,COX6A2,cytochrome c oxidase subunit 6A2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
10463,SLC30A9,solute carrier family 30 member 9,Small molecule transport
132001,TAMM41,TAM41 mitochondrial translocator assembly and maintenance homolog,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
100287932,TIMM23,translocase of inner mitochondrial membrane 23,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
55005,RMND1,required for meiotic nuclear division 1 homolog,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation
9927,MFN2,mitofusin 2,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites
728489,DNLZ,DNL-type zinc finger,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
131474,CHCHD4,coiled-coil-helix-coiled-coil-helix domain containing 4,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40"
4706,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,OXPHOS > Complex I > CI subunits | Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | OXPHOS > OXPHOS subunits
116285,ACSM1,acyl-CoA synthetase medium chain family member 1,Metabolism > Lipid metabolism > Fatty acid oxidation
493753,COA5,cytochrome c oxidase assembly factor 5,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
27235,COQ2,"coenzyme Q2, polyprenyltransferase",Metabolism > Metals and cofactors > Coenzyme Q metabolism
57107,PDSS2,decaprenyl diphosphate synthase subunit 2,Metabolism > Metals and cofactors > Coenzyme Q metabolism
